jugador,season,Posicion,total_intentos,partidos_jugados,intentos_aro,intentos_cerca,intentos_media_distancia,intentos_triple,intentos_tiro_libre,acierto_aro,acierto_cerca,acierto_media_distancia,acierto_triple,acierto_tiro_libre,proporcion_aro,proporcion_cerca,proporcion_media_distancia,proporcion_triple,proporcion_tiro_libre,porcentaje_acierto_global,altura,edad,peso
A.J. Lawson,2024,G,155,39,41,30,3,56,25,0.8048780487804879,0.26666666666666666,0.6666666666666666,0.26785714285714285,0.64,0.2645161290322581,0.1935483870967742,0.01935483870967742,0.36129032258064514,0.16129032258064516,0.4774193548387097,1.98,23,179
A.J. Price,2010,G,429,55,59,37,84,174,75,0.6101694915254238,0.3783783783783784,0.4166666666666667,0.3448275862068966,0.8,0.13752913752913754,0.08624708624708624,0.1958041958041958,0.40559440559440557,0.17482517482517482,0.47785547785547783,1.88,23,181
A.J. Price,2011,G,446,55,22,47,121,165,91,0.6363636363636364,0.40425531914893614,0.38016528925619836,0.2909090909090909,0.6923076923076923,0.04932735426008968,0.10538116591928251,0.2713004484304933,0.36995515695067266,0.2040358744394619,0.4260089686098655,1.88,24,181
A.J. Price,2013,G,472,57,36,49,127,198,62,0.5833333333333334,0.40816326530612246,0.3937007874015748,0.3434343434343434,0.7903225806451613,0.07627118644067797,0.1038135593220339,0.2690677966101695,0.4194915254237288,0.13135593220338984,0.4406779661016949,1.88,26,181
A.J. Price,2015,G,138,20,5,17,50,49,17,0.2,0.47058823529411764,0.42,0.2653061224489796,0.6470588235294118,0.036231884057971016,0.12318840579710146,0.36231884057971014,0.35507246376811596,0.12318840579710146,0.391304347826087,1.88,28,181
AJ Griffin,2023,F,579,72,50,88,164,230,47,0.66,0.5681818181818182,0.4634146341463415,0.3869565217391304,0.8936170212765957,0.08635578583765112,0.15198618307426598,0.28324697754749567,0.39723661485319517,0.08117443868739206,0.5008635578583766,1.98,19,220
Aaron Brooks,2010,G,1629,82,340,127,339,525,298,0.48823529411764705,0.4645669291338583,0.415929203539823,0.3980952380952381,0.8221476510067114,0.2087170042971148,0.07796193984039287,0.20810313075506445,0.32228360957642727,0.18293431553100062,0.5033763044812769,1.83,25,161
Aaron Brooks,2011,G,720,58,108,91,150,232,139,0.5740740740740741,0.34065934065934067,0.38,0.29310344827586204,0.8848920863309353,0.15,0.12638888888888888,0.20833333333333334,0.32222222222222224,0.19305555555555556,0.4736111111111111,1.83,26,161
Aaron Brooks,2013,G,402,59,71,63,74,140,54,0.6338028169014085,0.3968253968253968,0.47297297297297297,0.35714285714285715,0.7592592592592593,0.17661691542288557,0.15671641791044777,0.18407960199004975,0.3482587064676617,0.13432835820895522,0.48756218905472637,1.83,28,161
Aaron Brooks,2014,G,666,66,108,130,95,238,95,0.5092592592592593,0.36923076923076925,0.35789473684210527,0.3907563025210084,0.8736842105263158,0.16216216216216217,0.19519519519519518,0.14264264264264265,0.35735735735735735,0.14264264264264265,0.46996996996997,1.83,29,161
Aaron Brooks,2015,G,1051,93,212,174,153,333,179,0.5141509433962265,0.40229885057471265,0.37254901960784315,0.3783783783783784,0.8324022346368715,0.2017126546146527,0.16555661274976213,0.1455756422454805,0.3168411037107517,0.170313986679353,0.4862036156041865,1.83,30,161
Aaron Brooks,2016,G,522,67,97,97,88,178,62,0.4639175257731959,0.4329896907216495,0.3409090909090909,0.3595505617977528,0.7741935483870968,0.18582375478927204,0.18582375478927204,0.1685823754789272,0.34099616858237547,0.11877394636015326,0.4386973180076628,1.83,31,161
Aaron Brooks,2017,G,343,63,48,56,74,125,40,0.4583333333333333,0.39285714285714285,0.4189189189189189,0.384,0.8,0.13994169096209913,0.16326530612244897,0.21574344023323616,0.36443148688046645,0.11661807580174927,0.4518950437317784,1.83,32,161
Aaron Brooks,2018,G,85,26,14,11,16,31,13,0.42857142857142855,0.45454545454545453,0.5625,0.3225806451612903,0.6153846153846154,0.16470588235294117,0.12941176470588237,0.18823529411764706,0.36470588235294116,0.15294117647058825,0.4470588235294118,1.83,33,161
Aaron Gordon,2015,F,267,46,90,36,33,47,61,0.6333333333333333,0.4166666666666667,0.18181818181818182,0.2765957446808511,0.7213114754098361,0.33707865168539325,0.1348314606741573,0.12359550561797752,0.1760299625468165,0.22846441947565543,0.5056179775280899,2.03,19,235
Aaron Gordon,2016,F,748,78,229,72,114,140,193,0.6419213973799127,0.3333333333333333,0.34210526315789475,0.3,0.6683937823834197,0.30614973262032086,0.0962566844919786,0.15240641711229946,0.18716577540106952,0.2580213903743315,0.5093582887700535,2.03,20,235
Aaron Gordon,2017,F,1080,80,295,93,218,257,217,0.688135593220339,0.34408602150537637,0.37155963302752293,0.29571984435797666,0.7188940092165899,0.27314814814814814,0.08611111111111111,0.20185185185185187,0.23796296296296296,0.20092592592592592,0.5074074074074074,2.03,21,235
Aaron Gordon,2018,F,1091,58,210,122,217,317,225,0.7285714285714285,0.36885245901639346,0.3225806451612903,0.33753943217665616,0.6977777777777778,0.1924839596700275,0.11182401466544455,0.19890009165902842,0.29055912007332724,0.20623281393217233,0.48762603116406966,2.03,22,235
Aaron Gordon,2019,F,1380,83,320,182,264,342,272,0.68125,0.35714285714285715,0.35984848484848486,0.3538011695906433,0.7169117647058824,0.2318840579710145,0.1318840579710145,0.19130434782608696,0.24782608695652175,0.19710144927536233,0.5028985507246376,2.03,23,235
Aaron Gordon,2020,F,991,62,231,114,198,224,224,0.7056277056277056,0.41228070175438597,0.2777777777777778,0.3125,0.6741071428571429,0.2330978809283552,0.11503531786074672,0.19979818365287588,0.2260343087790111,0.2260343087790111,0.49041372351160445,2.03,24,235
Aaron Gordon,2021,F,772,60,163,118,138,179,174,0.6932515337423313,0.4067796610169492,0.36231884057971014,0.35195530726256985,0.6494252873563219,0.211139896373057,0.15284974093264247,0.17875647668393782,0.23186528497409326,0.22538860103626943,0.5012953367875648,2.03,25,235
Aaron Gordon,2022,F,1146,80,289,198,149,252,258,0.8304498269896193,0.41414141414141414,0.3624161073825503,0.32142857142857145,0.7403100775193798,0.25218150087260033,0.17277486910994763,0.1300174520069808,0.2198952879581152,0.225130890052356,0.5654450261780105,2.03,26,235
Aaron Gordon,2023,F,1337,88,407,226,136,187,381,0.7788697788697788,0.43805309734513276,0.36764705882352944,0.3422459893048128,0.6167979002624672,0.3044128646222887,0.16903515332834704,0.10172026925953627,0.13986537023186238,0.2849663425579656,0.5721765145848915,2.03,27,235
Aaron Gordon,2024,F,1131,85,416,187,90,141,297,0.7548076923076923,0.42780748663101603,0.3111111111111111,0.3191489361702128,0.6734006734006734,0.367816091954023,0.16534040671971706,0.07957559681697612,0.1246684350132626,0.2625994694960212,0.5897435897435898,2.03,28,235
Aaron Gray,2010,C,110,26,52,17,13,0,28,0.5769230769230769,0.47058823529411764,0.3076923076923077,NA,0.7142857142857143,0.4727272727272727,0.15454545454545454,0.11818181818181818,0,0.2545454545454545,0.5636363636363636,2.13,25,270
Aaron Gray,2011,C,154,38,64,39,9,0,42,0.625,0.5641025641025641,0.3333333333333333,NA,0.47619047619047616,0.4155844155844156,0.2532467532467532,0.05844155844155844,0,0.2727272727272727,0.551948051948052,2.13,26,270
Aaron Gray,2013,C,134,31,50,35,5,0,44,0.66,0.34285714285714286,0.6,NA,0.5227272727272727,0.373134328358209,0.26119402985074625,0.03731343283582089,0,0.3283582089552239,0.5298507462686567,2.13,28,270
Aaron Harrison,2018,G,86,9,8,3,15,43,17,0.625,0.3333333333333333,0.26666666666666666,0.20930232558139536,0.7647058823529411,0.09302325581395349,0.03488372093023256,0.1744186046511628,0.5,0.19767441860465115,0.37209302325581395,1.98,23,210
Aaron Holiday,2019,G,317,51,46,32,68,121,50,0.6304347826086957,0.34375,0.38235294117647056,0.33884297520661155,0.82,0.14511041009463724,0.10094637223974763,0.21451104100946372,0.38170347003154576,0.15772870662460567,0.4668769716088328,1.83,22,185
Aaron Holiday,2020,G,676,70,102,129,137,216,92,0.6176470588235294,0.3488372093023256,0.36496350364963503,0.4027777777777778,0.8369565217391305,0.15088757396449703,0.1908284023668639,0.20266272189349113,0.31952662721893493,0.13609467455621302,0.47633136094674555,1.83,23,185
